"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Caroline","Virginia",8336,51.18,7657,47.01,295,1.81,16288
"Carroll","Virginia",12659,80.88,2842,18.16,150,0.96,15651
"Charles City","Virginia",1761,39.65,2624,59.09,56,1.26,4441
"Charlotte","Virginia",3815,61.62,2317,37.43,59,0.95,6191
"Charlottesville","Virginia",3094,12.78,20696,85.5,415,1.72,24205
"Chesapeake","Virginia",58180,45.77,66377,52.22,2551,2.01,127108
"Chesterfield","Virginia",93326,45.77,106935,52.45,3623,1.78,203884
"Clarke","Virginia",5192,55.61,3920,41.98,225,2.41,9337
"Colonial Heights","Virginia",6007,65.68,2972,32.5,167,1.82,9146
"Covington","Virginia",1580,60.7,964,37.03,59,2.27,2603
"Craig","Virginia",2536,80.03,587,18.52,46,1.45,3169
"Culpeper","Virginia",16012,59.05,10617,39.15,487,1.8,27116
"Cumberland","Virginia",3019,56.85,2227,41.94,64,1.21,5310
"Danville","Virginia",7428,38.31,11710,60.4,251,1.3,19389
"Dickenson","Virginia",5748,78.71,1503,20.58,52,0.71,7303
"Dinwiddie","Virginia",8695,57.61,6224,41.24,173,1.15,15092
"Emporia","Virginia",754,31.67,1612,67.7,15,0.63,2381
"Essex","Virginia",3075,49.77,3038,49.17,65,1.06,6178
"Fairfax","Virginia",168401,28.03,419943,69.89,12479,2.08,600823
"Fairfax City","Virginia",4007,29.72,9174,68.04,302,2.24,13483
"Falls Church","Virginia",1490,16.9,7146,81.03,183,2.07,8819
"Fauquier","Virginia",25106,57.5,17565,40.23,990,2.27,43661
"Floyd","Virginia",6225,66.17,3004,31.93,179,1.9,9408
"Fluvanna","Virginia",8155,51.48,7414,46.81,271,1.71,15840
"Franklin","Virginia",20895,70.35,8381,28.22,426,1.43,29702
"Franklin City","Virginia",1487,36.64,2525,62.22,46,1.14,4058
"Frederick","Virginia",30558,62.74,17207,35.33,938,1.93,48703
"Fredericksburg","Virginia",4037,31.39,8517,66.22,308,2.39,12862
"Galax","Virginia",1838,69.67,777,29.45,23,0.88,2638
